subid	 trial	 block	 startPred	 prediction	 reward	 PE	 RTpred	 SD	 EV	 BeginITI	 CueOnset	 LogPrediction	 Feedback	 OnsetTooSlow	 BaselineStart	 
01	 1	 1	 84	 12	 77	 65	 1.500000e+00	 5	 65	 1.363140e+03	 1.365640e+03	 1.368173e+03	 1.370290e+03	 NaN	 1.358056e+03	 
01	 2	 1	 75	 89	 60	 -29	 3.030000e+00	 5	 65	 1.371323e+03	 1.372973e+03	 1.377023e+03	 1.379257e+03	 NaN	 1.358056e+03	 
01	 3	 1	 32	 75	 95	 20	 1.710000e+00	 5	 65	 1.380273e+03	 1.382823e+03	 1.385557e+03	 1.388223e+03	 NaN	 1.358056e+03	 
01	 4	 1	 56	 41	 87	 46	 1.750000e+00	 5	 65	 1.389240e+03	 1.391107e+03	 1.393873e+03	 1.396557e+03	 NaN	 1.358056e+03	 
01	 5	 1	 78	 21	 42	 21	 3.130000e+00	 15	 35	 1.397590e+03	 1.399207e+03	 1.403357e+03	 1.406823e+03	 NaN	 1.358056e+03	 
01	 6	 1	 86	 59	 37	 -22	 2.680000e+00	 15	 35	 1.407840e+03	 1.412756e+03	 1.416457e+03	 1.418640e+03	 NaN	 1.358056e+03	 
01	 7	 1	 47	 26	 43	 17	 1.800000e+00	 15	 35	 1.419657e+03	 1.425940e+03	 1.428757e+03	 1.432657e+03	 NaN	 1.358056e+03	 
01	 8	 1	 93	 NaN	 35	 NaN	 3.520000e+00	 15	 35	 1.433673e+03	 1.441174e+03	 NaN	 NaN	 1.445707e+03	 1.358056e+03	 
01	 9	 1	 90	 NaN	 31	 NaN	 3.520000e+00	 15	 35	 1.447257e+03	 1.449157e+03	 NaN	 NaN	 1.453691e+03	 1.358056e+03	 
01	 10	 1	 100	 NaN	 53	 NaN	 3.520000e+00	 15	 35	 1.455224e+03	 1.461790e+03	 NaN	 NaN	 1.466324e+03	 1.358056e+03	 
01	 11	 1	 19	 19	 74	 55	 1.100000e+00	 5	 65	 1.467857e+03	 1.469741e+03	 1.471857e+03	 1.474057e+03	 NaN	 1.358056e+03	 
01	 12	 1	 93	 NaN	 35	 NaN	 3.510000e+00	 5	 65	 1.475074e+03	 1.480674e+03	 NaN	 NaN	 1.485207e+03	 1.358056e+03	 
01	 13	 1	 75	 NaN	 58	 NaN	 3.520000e+00	 5	 65	 1.486740e+03	 1.488757e+03	 NaN	 NaN	 1.493291e+03	 1.358056e+03	 
01	 14	 1	 58	 58	 62	 4	 9.700000e-01	 5	 65	 1.494824e+03	 1.498507e+03	 1.500491e+03	 1.502907e+03	 NaN	 1.358056e+03	 
01	 15	 1	 83	 83	 66	 -17	 1.070000e+00	 5	 65	 1.503924e+03	 1.505957e+03	 1.508041e+03	 1.511857e+03	 NaN	 1.358056e+03	 
01	 16	 1	 86	 NaN	 29	 NaN	 3.520000e+00	 5	 65	 1.512874e+03	 1.515141e+03	 NaN	 NaN	 1.519674e+03	 1.358056e+03	 
01	 17	 1	 14	 NaN	 34	 NaN	 3.520000e+00	 15	 35	 1.521207e+03	 1.525574e+03	 NaN	 NaN	 1.530107e+03	 1.358056e+03	 
01	 18	 1	 46	 46	 28	 -18	 1.500000e+00	 15	 35	 1.531640e+03	 1.536558e+03	 1.539074e+03	 1.542674e+03	 NaN	 1.358056e+03	 
